               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10715,            0.043769,            0.056492,          0.00015788,            0.029524,          0.00013412,          4.3148e-05,            0.098534,            0.037937,            0.054454,               0.073,               0.003,               0.003
                   1,            0.099018,            0.043778,            0.053271,          0.00015788,            0.029524,          0.00013322,          4.4505e-05,             0.09663,            0.037269,            0.053233,             0.04504,           0.0060396,           0.0060396
                   2,            0.097736,            0.045323,            0.050599,           0.0015727,            0.039916,          0.00085116,           0.0004619,            0.096428,             0.03636,            0.052498,            0.017018,           0.0090178,           0.0090178
                   3,            0.094818,            0.045098,            0.044694,           0.0027237,             0.12421,           0.0023318,          0.00069962,            0.098301,            0.033036,            0.053078,            0.009703,            0.009703,            0.009703
                   4,            0.090285,            0.046346,             0.04048,           0.0029126,              0.2455,           0.0023724,          0.00065197,            0.093702,            0.045221,              0.0463,            0.009703,            0.009703,            0.009703
                   5,            0.087348,            0.044625,            0.036323,             0.44125,             0.12977,            0.010015,           0.0023312,            0.087216,            0.038997,            0.033491,            0.009604,            0.009604,            0.009604
                   6,            0.086087,            0.045391,            0.034438,             0.15674,            0.014689,           0.0040865,           0.0010067,             0.10566,            0.096127,            0.038151,            0.009505,            0.009505,            0.009505
                   7,            0.082107,            0.044756,            0.033192,           0.0021434,            0.057682,           0.0012669,          0.00024815,             0.10192,              0.1959,            0.041816,            0.009406,            0.009406,            0.009406
                   8,            0.079659,            0.044787,            0.031582,             0.44021,             0.02315,           0.0025593,          0.00053577,             0.10039,            0.098251,            0.042284,            0.009307,            0.009307,            0.009307
                   9,            0.079877,            0.044053,            0.029707,            0.014395,             0.23977,            0.023072,           0.0032466,            0.089065,            0.049782,            0.033713,            0.009208,            0.009208,            0.009208
                  10,             0.07721,            0.043029,            0.028597,               0.677,             0.11436,            0.058683,            0.017914,            0.075444,              0.0329,            0.025634,            0.009109,            0.009109,            0.009109
                  11,            0.075003,            0.044552,            0.028655,             0.63482,             0.10918,            0.084609,            0.025361,            0.072333,            0.041721,             0.02366,             0.00901,             0.00901,             0.00901
                  12,            0.075244,            0.044376,            0.027877,             0.60095,            0.090031,            0.024041,           0.0055294,            0.080596,            0.037956,            0.024575,            0.008911,            0.008911,            0.008911
                  13,            0.075319,            0.043193,            0.027536,             0.65828,             0.10856,            0.060023,            0.019876,            0.068822,            0.040709,            0.021483,            0.008812,            0.008812,            0.008812
                  14,            0.072102,            0.041969,            0.026726,             0.66929,             0.12019,             0.07745,            0.024554,            0.070607,            0.033106,            0.023252,            0.008713,            0.008713,            0.008713
                  15,            0.072202,            0.039124,            0.026432,             0.65345,             0.16569,            0.093957,            0.029587,            0.065533,            0.034205,            0.017948,            0.008614,            0.008614,            0.008614
                  16,            0.069072,            0.040029,            0.025738,             0.67723,             0.16421,             0.10789,            0.034381,            0.065071,            0.035642,             0.01801,            0.008515,            0.008515,            0.008515
                  17,            0.069742,             0.04142,            0.025062,             0.74363,             0.10911,            0.097513,            0.032154,            0.065489,            0.031214,            0.018969,            0.008416,            0.008416,            0.008416
                  18,            0.069559,             0.03991,            0.024627,             0.66517,            0.079785,            0.060539,            0.018765,            0.073293,            0.034411,            0.020279,            0.008317,            0.008317,            0.008317
                  19,             0.06553,            0.043268,            0.024254,             0.68189,             0.21173,             0.13405,            0.048764,             0.06456,            0.034171,            0.021288,            0.008218,            0.008218,            0.008218
                  20,            0.066732,            0.039722,            0.022862,             0.70997,              0.1648,             0.13092,             0.04647,            0.061984,            0.030694,            0.015572,            0.008119,            0.008119,            0.008119
                  21,            0.065147,            0.041332,             0.02237,             0.58405,             0.18966,             0.14544,            0.048113,            0.061547,             0.03252,            0.018732,             0.00802,             0.00802,             0.00802
                  22,            0.062776,            0.039024,            0.022647,             0.59778,             0.17972,             0.14647,            0.046757,            0.062291,            0.033391,            0.014976,            0.007921,            0.007921,            0.007921
                  23,             0.06272,             0.03985,            0.020793,             0.39423,             0.20298,             0.12319,            0.035963,            0.069262,            0.031093,            0.014545,            0.007822,            0.007822,            0.007822
                  24,            0.063707,            0.040085,            0.022021,             0.61284,             0.11514,             0.10089,            0.034424,            0.070884,            0.032872,            0.024633,            0.007723,            0.007723,            0.007723
                  25,            0.063749,            0.040787,             0.02116,             0.61037,             0.18909,             0.15499,            0.055979,            0.059859,            0.033661,            0.016552,            0.007624,            0.007624,            0.007624
                  26,            0.060082,            0.039103,            0.019917,             0.33558,             0.26567,             0.18988,            0.070049,             0.05865,            0.030373,            0.013236,            0.007525,            0.007525,            0.007525
                  27,            0.062908,            0.040761,            0.019621,             0.31642,             0.27647,             0.18049,            0.065273,            0.059603,            0.030069,            0.012909,            0.007426,            0.007426,            0.007426
