               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10844,            0.044431,            0.057671,          0.00028775,             0.05381,          0.00024832,           7.798e-05,            0.098802,            0.038093,            0.053913,               0.073,               0.003,               0.003
                   1,            0.099596,            0.044899,            0.053668,          0.00015788,            0.029524,          0.00012345,          4.1487e-05,            0.096971,            0.037553,            0.052677,             0.04504,           0.0060396,           0.0060396
                   2,             0.09791,            0.043498,            0.051778,          0.00020626,            0.038571,          0.00017096,           5.116e-05,            0.096793,            0.036872,            0.051696,            0.017018,           0.0090178,           0.0090178
                   3,            0.094896,            0.043172,            0.049585,           0.0036974,             0.07172,           0.0025492,          0.00045825,            0.095538,             0.03636,            0.050005,            0.009703,            0.009703,            0.009703
                   4,            0.094527,            0.043064,            0.043432,             0.29741,            0.053666,            0.008527,           0.0021438,            0.091146,             0.03747,            0.040403,            0.009703,            0.009703,            0.009703
                   5,            0.091584,            0.044556,            0.039465,             0.29368,              0.0761,           0.0054033,           0.0013808,            0.093273,            0.045515,            0.037304,            0.009604,            0.009604,            0.009604
                   6,            0.087413,            0.044923,            0.036643,             0.31203,            0.056656,            0.021747,           0.0051582,            0.085329,            0.037379,            0.029223,            0.009505,            0.009505,            0.009505
                   7,             0.08625,            0.042948,            0.034239,             0.15159,            0.035976,           0.0014658,          0.00030843,            0.096155,             0.12772,            0.037505,            0.009406,            0.009406,            0.009406
                   8,            0.083158,            0.044478,            0.031446,             0.61472,            0.036227,            0.022738,           0.0052827,            0.089112,            0.056512,            0.027228,            0.009307,            0.009307,            0.009307
                   9,            0.082795,            0.042854,            0.033203,             0.68057,            0.046703,            0.034321,            0.009019,            0.077702,            0.035364,            0.025344,            0.009208,            0.009208,            0.009208
                  10,             0.07998,            0.044456,            0.032328,             0.61201,             0.12867,            0.026791,           0.0065475,            0.085386,            0.041085,            0.026496,            0.009109,            0.009109,            0.009109
                  11,            0.078868,            0.044369,             0.03079,             0.60159,             0.11816,            0.024063,           0.0078499,            0.081249,            0.052515,            0.023628,             0.00901,             0.00901,             0.00901
                  12,            0.077928,             0.04507,            0.027953,             0.64816,              0.1658,            0.066138,            0.019225,            0.071004,            0.040959,            0.022653,            0.008911,            0.008911,            0.008911
                  13,             0.07577,             0.04383,            0.028293,             0.77012,            0.084987,            0.056762,            0.017371,            0.071144,            0.036116,            0.020922,            0.008812,            0.008812,            0.008812
                  14,            0.075285,            0.042481,            0.027948,             0.65906,             0.10903,            0.079748,            0.022736,            0.071232,            0.033182,            0.023297,            0.008713,            0.008713,            0.008713
                  15,            0.074008,            0.043444,            0.027844,             0.67632,              0.1629,            0.095541,            0.028986,            0.066957,            0.035076,            0.020662,            0.008614,            0.008614,            0.008614
                  16,            0.071847,            0.041835,            0.027898,             0.66562,             0.17787,            0.099115,            0.029531,            0.069993,            0.040365,            0.026404,            0.008515,            0.008515,            0.008515
                  17,            0.071113,            0.042131,            0.027839,             0.65654,             0.12717,            0.070438,            0.020876,            0.068956,            0.033896,             0.02105,            0.008416,            0.008416,            0.008416
                  18,            0.070895,            0.042389,             0.02577,             0.67009,             0.20079,             0.12115,            0.037095,            0.063837,            0.032637,            0.018657,            0.008317,            0.008317,            0.008317
                  19,            0.067271,            0.040805,            0.025783,             0.60968,             0.15584,             0.13967,            0.043884,            0.064373,             0.03237,            0.019109,            0.008218,            0.008218,            0.008218
                  20,            0.069492,            0.041833,            0.025512,             0.71744,             0.14247,             0.13472,            0.041916,             0.06452,            0.032138,            0.019284,            0.008119,            0.008119,            0.008119
                  21,             0.06717,            0.040606,            0.026228,             0.53579,             0.15248,            0.095728,            0.028784,            0.070831,            0.031606,            0.020414,             0.00802,             0.00802,             0.00802
                  22,            0.068963,            0.041713,            0.026085,             0.69196,             0.18065,              0.1494,            0.050693,            0.062693,            0.033627,            0.017389,            0.007921,            0.007921,            0.007921
                  23,            0.064576,            0.041583,            0.023784,             0.29442,             0.24549,             0.13893,            0.050275,            0.062483,            0.033859,             0.01855,            0.007822,            0.007822,            0.007822
